dataset,hard_validation_accuracy,ste_validation_accuracy,hard_final_test_accuracy,hard_final_test_accuracy_sd,ste_final_test_accuracy,ste_final_test_accuracy_sd,test_improvement_percentage_points,hard_feature_drift_max,ste_feature_drift_mean,hard_validation_unique_patterns_mean,ste_validation_unique_patterns_mean,hard_validation_ambiguous_sample_fraction_mean,ste_validation_ambiguous_sample_fraction_mean,hard_validation_mean_bit_entropy,ste_validation_mean_bit_entropy,ste_conv_gradient_l1_min,ste_fc_gradient_l1_min
mnist,0.26533333333333337,0.4881666666666667,0.297125,0.025169115498960243,0.5014583333333333,0.09250045044935366,20.433333333333337,0.0,0.5335628986358643,152.33333333333334,378.6666666666667,0.9535,0.56,0.3450931819800063,0.7212861438865091,3.4827089309692383,23.421483993530273
fashion,0.34366666666666673,0.5981666666666666,0.34904166666666664,0.04457460973842993,0.598625,0.07651358131077121,24.958333333333332,0.0,0.6411497592926025,132.0,352.0,0.9516666666666667,0.654,0.34531149534329214,0.7480145649305006,1.7580232620239258,11.289224624633789
