dataset,iqp_all_accuracy_mean,iqp_all_accuracy_sd,iqp_nn_accuracy_mean,iqp_nn_accuracy_sd,paired_nn_minus_all_mean_pp,paired_nn_minus_all_sd_pp
mnist,0.9755,0.0027499999999999747,0.9756666666666667,0.0004018187817080473,0.016666666666668533,0.24505526587554222
fashion,0.869625,0.0025093574874856276,0.8724583333333333,0.003923752455664485,0.2833333333333317,0.5457697163945021
