encoding,sample_count,n_checkpoint_seeds,accuracy_mean,accuracy_sd_across_seeds,f1_mean,f1_sd_across_seeds
amplitude,2000,3,0.8955000000000001,0.0039051248379533164,0.8961704691039488,0.003675163763082482
angle,2000,3,0.8925,0.002645751311064593,0.8933196775986353,0.003163678626919023
iqp-all,2000,3,0.8841666666666667,0.0050332229568471705,0.8839031178489128,0.005616011014584123
basis-ste,2000,3,0.5981666666666666,0.07681362726322287,0.5843079444349023,0.08077307058417048
iqp-nn,2000,3,0.8853333333333332,0.0020207259421636875,0.886089033060491,0.0014717743147646227
basis,2000,3,0.34366666666666673,0.0472396373116193,0.3083606995201751,0.044736326974217366
