dataset,model,seed,selection_policy,validation_accuracy,final_test_accuracy,final_test_precision,final_test_recall,final_test_f1,final_test_samples,final_test_evaluations,checkpoint
mnist,amplitude,456,validation_accuracy,0.9725,0.982125,0.982176682559094,0.982125,0.9821054883424568,8000,1,Amplitude encoding\best_Amplitude_model_seed_456.pth
mnist,angle,42,validation_accuracy,0.959,0.97525,0.9752900624460198,0.97525,0.975250040354645,8000,1,angle encoding\best_Angle_model.pth
mnist,angle,123,validation_accuracy,0.9705,0.979,0.979087834503297,0.979,0.9789964598056305,8000,1,angle encoding\best_Angle_model_seed_123.pth
mnist,angle,456,validation_accuracy,0.961,0.9745,0.9745303725096562,0.9745,0.9744877790773275,8000,1,angle encoding\best_Angle_model_seed_456.pth
mnist,iqp-all,42,best_validation_accuracy,0.966,0.9755,0.9756770219036631,0.9755,0.9755087046880427,8000,1,paper_analysis\results\iqp_all\mnist\seed_42\best_validation_model.pth
mnist,iqp-all,123,best_validation_accuracy,0.9685,0.97825,0.9784172503187137,0.97825,0.9782681525370092,8000,1,paper_analysis\results\iqp_all\mnist\seed_123\best_validation_model.pth
mnist,iqp-all,456,best_validation_accuracy,0.962,0.97275,0.9727342713886885,0.97275,0.9727164500798118,8000,1,paper_analysis\results\iqp_all\mnist\seed_456\best_validation_model.pth
mnist,basis-ste,42,best_validation_accuracy,0.5805,0.585125,0.6649014094971204,0.585125,0.5700155931153164,8000,1,paper_analysis\results\basis_ste\mnist\seed_42\best_validation_model.pth
mnist,basis-ste,123,best_validation_accuracy,0.3965,0.402125,0.3652588122423347,0.402125,0.334801140595276,8000,1,paper_analysis\results\basis_ste\mnist\seed_123\best_validation_model.pth
mnist,basis-ste,456,best_validation_accuracy,0.4875,0.517125,0.4902771857082403,0.517125,0.4865719105792888,8000,1,paper_analysis\results\basis_ste\mnist\seed_456\best_validation_model.pth
mnist,iqp-nn,42,best_validation_accuracy,0.9615,0.975375,0.9754881843293858,0.975375,0.9753707305241833,8000,1,paper_analysis\results\iqp_nn_control\mnist\seed_42\best_validation_model.pth
mnist,iqp-nn,123,best_validation_accuracy,0.9715,0.976125,0.9762610229140927,0.976125,0.9761207434029439,8000,1,paper_analysis\results\iqp_nn_control\mnist\seed_123\best_validation_model.pth
mnist,iqp-nn,456,best_validation_accuracy,0.9675,0.9755,0.9756395820991433,0.9755,0.9754588475704662,8000,1,paper_analysis\results\iqp_nn_control\mnist\seed_456\best_validation_model.pth
mnist,basis-hard,42,validation_accuracy,0.2945,0.3195,0.31352746400185333,0.3195,0.27658297071610843,8000,1,basis encoding\best_Basis_model.pth
mnist,basis-hard,123,validation_accuracy,0.28,0.302,0.27368808614635826,0.302,0.2659969201106378,8000,1,basis encoding\best_Basis_model_seed_123.pth
mnist,basis-hard,456,validation_accuracy,0.2215,0.269875,0.27137310992058333,0.269875,0.2197666397981806,8000,1,basis encoding\best_Basis_model_seed_456.pth
mnist,classiccnn,42,validation_accuracy,0.9715,0.97925,0.9793774235055005,0.97925,0.9792223164502473,8000,1,CNN\best_ClassicCNN_mnist_seed_42.pth
mnist,classiccnn,123,validation_accuracy,0.974,0.98,0.9801644922133467,0.98,0.9799811469636818,8000,1,CNN\best_ClassicCNN_mnist_seed_123.pth
mnist,classiccnn,456,validation_accuracy,0.9775,0.981625,0.9817329510386567,0.981625,0.9816112103843512,8000,1,CNN\best_ClassicCNN_mnist_seed_456.pth
mnist,mlp-16,42,validation_accuracy,0.971,0.980375,0.9805633003065766,0.980375,0.9803915524575971,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_16\seed_42\best_validation_model.pth
mnist,mlp-16,123,validation_accuracy,0.969,0.979375,0.9794218164295587,0.979375,0.9793676772690524,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_16\seed_123\best_validation_model.pth
mnist,mlp-16,456,validation_accuracy,0.9715,0.978875,0.9790461670892853,0.978875,0.9788906930432981,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_16\seed_456\best_validation_model.pth
mnist,mlp-64,42,validation_accuracy,0.975,0.97925,0.9794404741869945,0.97925,0.9792198104066073,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_64\seed_42\best_validation_model.pth
mnist,mlp-64,123,validation_accuracy,0.9765,0.98225,0.9823436506286884,0.98225,0.9822386524474737,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_64\seed_123\best_validation_model.pth
mnist,mlp-64,456,validation_accuracy,0.9795,0.982125,0.9822094282648622,0.982125,0.9821220573275082,8000,1,paper_analysis\results\baselines_validation_selected\mnist\bottleneck_64\seed_456\best_validation_model.pth
